rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,#KIC,period,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC,Unnamed: 11
38,11138155,K00760.01,Kepler-1976 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.959319244,5.15e-07,-5.15e-07,172.2585292,8.27e-05,-8.27e-05,2455005.259,8.27e-05,-8.27e-05,0.0,,,,,,0.831,0.016,-0.004,2.22739,0.0075,-0.0075,,,,9802.0,20.0,-20.0,0.103379,0.001245,-7.4e-05,1.46169,0.05503,-0.18338,LS+MCMC,12.21,1.96,-1.46,0.0565,,,86.15,,,1103.0,,,349.4,146.52,-93.21,12.386,0.466,-0.466,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2602,0.4096,q1_q17_dr25_koi,58.764744,670.4895,696.5,1,269.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0517,Mandel and Agol (2002 ApJ 580 171),,,011/011138/011138155/dv/kplr011138155-20160209194854_dvr.pdf,011/011138/011138155/dv/kplr011138155-001-20160209194854_dvs.pdf,5712.0,77.0,-77.0,4.359,0.11,-0.11,0.1,0.15,-0.15,1.082,0.173,-0.13,0.976,0.073,-0.055,,,,q1_q17_dr25_stellar,292.16705,48.727589,15.263,15.715,15.209,15.069,15.041,14.123,13.815,13.805,0.705,19.47780401,6.2e-07,48.7275662,5.6e-06,0.0,0.022,-0.086,0.02,0.00011,0.00052,-7e-05,0.00075,-0.018,0.067,0.012,0.067,0.022,0.067,-0.021,0.067,-0.077,0.068,0.08,0.068,11138155.0,4.9593282,1.07e-05,54965.5826,0.016483,0.13,80.7177,14.3451,15.263,5887.0,True,
211,7678434,K00892.01,Kepler-716 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,10.37168928,1.477e-05,-1.477e-05,172.61729,0.00117,-0.00117,2455005.617,0.00117,-0.00117,0.0,,,,,,0.537,0.02,-0.478,3.035,0.0456,-0.0456,,,,1254.9,21.2,-21.2,0.033023,0.004486,-0.001288,2.15323,1.02242,-1.70045,LS+MCMC,3.2,0.18,-0.28,0.0873,,,88.66,,,720.0,,,63.68,11.53,-13.96,23.0,10.9,-10.9,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1451,0.582,q1_q17_dr25_koi,8.5752535,51.219067,64.5,2,128.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.5905,Mandel and Agol (2002 ApJ 580 171),,,007/007678/007678434/dv/kplr007678434-20160209194854_dvr.pdf,007/007678/007678434/dv/kplr007678434-001-20160209194854_dvs.pdf,5121.0,76.0,-84.0,4.457,0.091,-0.039,0.18,0.15,-0.15,0.888,0.049,-0.077,0.822,0.053,-0.029,,,,q1_q17_dr25_stellar,290.39322,43.363899,15.193,15.89,15.136,14.894,14.778,13.67,13.249,13.135,0.003,19.3595524,5.6e-06,43.363945,5.8e-05,0.17,0.22,0.16,0.21,-0.00025,0.00029,-0.00045,0.00028,-0.025,0.097,0.127,0.093,0.129,0.095,-0.053,0.092,0.053,0.094,0.075,0.098,7678434.0,10.3716917,3.09e-05,55005.61689,0.025966,0.1,75.177,13.1948,15.193,5010.0,False,
212,7678434,K00892.02,Kepler-716 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.96996298,1.395e-05,-1.395e-05,137.75447,0.0031,-0.0031,2454970.754,0.0031,-0.0031,0.0,,,,,,0.836,0.101,-0.602,1.1757,0.097,-0.097,,,,299.2,24.5,-24.5,0.018305,0.000621,-0.003056,4.07984,18.29609,-3.27047,LS+MCMC,1.78,0.09,-0.16,0.046,,,86.81,,,992.0,,,229.37,41.51,-50.3,15.04,7.5,-7.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1451,0.582,q1_q17_dr25_koi,3.348457,12.679447,15.0,2,320.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0175,Mandel and Agol (2002 ApJ 580 171),,,007/007678/007678434/dv/kplr007678434-20160209194854_dvr.pdf,007/007678/007678434/dv/kplr007678434-002-20160209194854_dvs.pdf,5121.0,76.0,-84.0,4.457,0.091,-0.039,0.18,0.15,-0.15,0.888,0.049,-0.077,0.822,0.053,-0.029,,,,q1_q17_dr25_stellar,290.39322,43.363899,15.193,15.89,15.136,14.894,14.778,13.67,13.249,13.135,0.184,19.359572,2.4e-05,43.364,0.00025,0.96,0.93,0.37,0.9,-0.00028,0.00026,-0.00016,0.00025,0.08,0.27,0.05,0.38,0.1,0.33,0.05,0.26,-0.04,0.36,0.06,0.27,7678434.0,10.3716917,3.09e-05,55005.61689,0.025966,0.1,75.177,13.1948,15.193,5010.0,False,
230,5812701,K00012.01,Kepler-448 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.635,0,0,0,0,q1_q17_dr25_sup_koi,CENT_SATURATED,17.855221681,3.676e-06,-3.676e-06,146.596466,0.000163,-0.000163,2454979.596,0.000163,-0.000163,0.0,,,,,,0.075,0.106,-0.043,7.41287,0.00581,-0.00581,,,,9065.2,11.2,-11.2,0.08815,4.2e-05,-9.1e-05,0.47367,0.00473,-0.00057,LS+MCMC,13.16,2.57,-0.65,0.1491,,,89.79,,,911.0,,,163.04,78.35,-23.38,19.986,0.2,-0.2,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3272,0.2758,q1_q17_dr25_koi,82.201164,417.8653,915.7,1,75.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.4664,Mandel and Agol (2002 ApJ 580 171),,,005/005812/005812701/dv/kplr005812701-20160209194854_dvr.pdf,005/005812/005812701/dv/kplr005812701-001-20160209194854_dvs.pdf,6823.0,61.0,-92.0,4.308,0.024,-0.128,0.07,0.15,-0.15,1.367,0.267,-0.067,1.386,0.093,-0.076,,,,q1_q17_dr25_stellar,297.45374,41.01099,11.353,11.571,11.28,11.245,11.26,10.461,10.287,10.234,0.0,19.83024683,1e-07,41.0110569,1.2e-06,-0.0764,0.0043,0.241,0.0045,0.00048,0.0004,-0.00097,0.00053,-0.03,0.21,0.05,0.25,0.06,0.31,-0.05,0.2,0.18,0.25,0.19,0.29,5812701.0,35.71,0.0001756,54997.460654,0.064677,0.08,75.4989,7.4698,11.353,6419.0,True,
236,11086270,K00124.01,Kepler-110 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.415,0,0,0,0,q1_q17_dr25_sup_koi,MOD_SEC_ALT,12.69104387,2.298e-05,-2.298e-05,137.12594,0.00149,-0.00149,2454970.126,0.00149,-0.00149,0.0,,,,,,0.008,0.389,-0.007,3.7727,0.0452,-0.0452,,,,252.1,4.6,-4.6,0.014487,0.000316,-0.000211,2.08259,0.07276,-0.52592,LS+MCMC,2.57,0.4,-0.65,0.1072,,,89.98,,,1008.0,,,244.3,109.11,-118.87,26.076,0.911,-0.911,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2736,0.3819,q1_q17_dr25_koi,7.5664573,47.59951,60.2,2,108.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0234,Mandel and Agol (2002 ApJ 580 171),,,011/011086/011086270/dv/kplr011086270-20160209194854_dvr.pdf,011/011086/011086270/dv/kplr011086270-001-20160209194854_dvs.pdf,5869.0,117.0,-117.0,4.024,0.21,-0.105,-0.16,0.15,-0.15,1.626,0.254,-0.413,1.019,0.098,-0.098,,,,q1_q17_dr25_stellar,292.92914,48.60281,12.935,13.288,12.891,12.784,12.769,11.919,11.658,11.623,0.115,19.5286159,6.1e-06,48.602858,5.6e-05,0.26,0.22,0.17,0.2,-4.9e-05,5.5e-05,-4.6e-05,5e-05,0.01,0.15,0.03,0.21,0.03,0.22,0.07,0.16,0.11,0.21,0.13,0.22,11086270.0,12.691047,4.09e-05,54970.126393,0.034583,0.1,80.8226,13.8367,12.935,6076.0,True,
265,11086270,K00124.02,Kepler-110 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,31.71981013,6.31e-05,-6.31e-05,142.82083,0.00164,-0.00164,2454975.821,0.00164,-0.00164,0.0,,,,,,0.125,0.285,-0.125,4.819,0.0498,-0.0498,,,,363.4,6.1,-6.1,0.017414,0.000385,-0.000213,2.4614,0.1159,-0.72285,LS+MCMC,3.09,0.49,-0.78,0.1975,,,89.86,,,743.0,,,71.97,32.15,-35.02,50.78,2.4,-2.4,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2736,0.3819,q1_q17_dr25_koi,10.343444,50.201683,63.1,2,44.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.6324,Mandel and Agol (2002 ApJ 580 171),,,011/011086/011086270/dv/kplr011086270-20160209194854_dvr.pdf,011/011086/011086270/dv/kplr011086270-002-20160209194854_dvs.pdf,5869.0,117.0,-117.0,4.024,0.21,-0.105,-0.16,0.15,-0.15,1.626,0.254,-0.413,1.019,0.098,-0.098,,,,q1_q17_dr25_stellar,292.92914,48.60281,12.935,13.288,12.891,12.784,12.769,11.919,11.658,11.623,0.14,19.5286061,6.2e-06,48.602753,5.7e-05,-0.09,0.22,-0.2,0.2,5.4e-05,7.9e-05,6.8e-05,7.2e-05,0.02,0.18,-0.15,0.21,0.16,0.21,0.06,0.18,-0.07,0.22,0.09,0.2,11086270.0,12.691047,4.09e-05,54970.126393,0.034583,0.1,80.8226,13.8367,12.935,6076.0,True,
273,9166862,K00931.01,Kepler-731 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.999,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,3.855603916,3.68e-07,-3.68e-07,170.6787843,7.48e-05,-7.48e-05,2455003.679,7.48e-05,-7.48e-05,0.0,,,,,,0.348,0.027,-0.039,3.2179,0.0101,-0.0101,,,,16653.0,18.2,-18.2,0.119176,0.000279,-0.000403,1.18411,0.04544,-0.04633,LS+MCMC,13.61,3.8,-1.35,0.0505,,,87.96,,,1212.0,,,508.65,435.35,-163.96,9.763,0.375,-0.375,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2826,0.3729,q1_q17_dr25_koi,105.129425,1321.7062,1173.9,1,350.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.1893,Mandel and Agol (2002 ApJ 580 171),,,009/009166/009166862/dv/kplr009166862-20160209194854_dvr.pdf,009/009166/009166862/dv/kplr009166862-001-20160209194854_dvs.pdf,6033.0,193.0,-265.0,4.46,0.048,-0.192,0.21,0.2,-0.25,1.046,0.292,-0.104,1.153,0.125,-0.152,,,,q1_q17_dr25_stellar,296.39316,45.568562,15.272,15.763,15.17,15.061,14.988,14.126,13.762,13.775,0.0,19.75955779,2.3e-07,45.5686324,2.2e-06,0.4947,0.0086,0.2605,0.0079,0.01353,0.00068,0.01223,0.00095,-1.46,0.16,-0.98,0.11,1.76,0.18,-0.045,0.069,-0.084,0.069,0.095,0.069,9166862.0,3.8555993,7.4e-06,55003.679731,0.026283,0.27,79.1517,10.3589,15.272,5714.0,False,
275,11449844,K00125.01,Kepler-468 b,CONFIRMED,Done,2018-08-16,FALSE POSITIVE,0.92,0,1,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,38.47876629,4.731e-06,-4.731e-06,151.852812,0.000101,-0.000101,2454984.853,0.000101,-0.000101,0.0,,,,,,0.003,0.034,-0.003,5.04169,0.00343,-0.00343,,,,23530.0,25.4,-25.4,0.138123,9.7e-05,-7e-05,3.7339,0.00545,-0.01642,LS+MCMC,13.26,1.78,-0.59,0.2213,,,90.0,,,484.0,,,13.01,4.96,-2.04,66.3614,0.0969,-0.0969,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.224,0.4695,q1_q17_dr25_koi,261.08838,1014.9963,1077.8,1,35.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0,Mandel and Agol (2002 ApJ 580 171),,,011/011449/011449844/dv/kplr011449844-20160209194854_dvr.pdf,011/011449/011449844/dv/kplr011449844-001-20160209194854_dvs.pdf,5510.0,98.0,-109.0,4.539,0.019,-0.11,0.16,0.15,-0.15,0.879,0.118,-0.039,0.973,0.041,-0.07,,,,q1_q17_dr25_stellar,288.90222,49.370491,13.779,14.332,13.695,13.542,13.475,12.467,12.115,12.029,0.024,19.26014972,2.1e-07,49.370446,2.6e-06,0.0394,0.0075,-0.1583,0.0093,0.0001,0.0018,-0.0003,0.0027,0.004,0.067,-0.014,0.067,0.014,0.067,0.043,0.068,-0.347,0.073,0.349,0.073,11449844.0,38.4787644,0.0002024,54984.85215,0.0409,0.03,80.433,16.5623,13.779,5304.0,True,
394,1161345,K00984.01,Kepler-1973 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.711,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.28746668,1.524e-05,-1.524e-05,262.06245,0.00211,-0.00211,2455095.062,0.00211,-0.00211,0.0,,,,,,0.374,0.083,-0.374,1.5693,0.0785,-0.0785,,,,790.1,49.7,-49.7,0.025717,0.00122,-0.001106,8.16471,4.69586,-1.63188,LS+MCMC,2.29,0.22,-0.1,0.0501,,,88.93,,,942.0,,,186.31,56.73,-28.39,19.94,5.7,-5.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1914,0.5167,q1_q17_dr25_koi,19.839577,116.715004,19.4,1,313.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.1517,Mandel and Agol (2002 ApJ 580 171),,,001/001161/001161345/dv/kplr001161345-20160209194854_dvr.pdf,001/001161/001161345/dv/kplr001161345-001-20160209194854_dvs.pdf,5296.0,105.0,-105.0,4.576,0.015,-0.085,0.12,0.15,-0.15,0.815,0.08,-0.034,0.911,0.036,-0.064,,,,q1_q17_dr25_stellar,291.0488,36.839882,11.631,12.28,11.956,11.353,11.239,10.457,10.096,10.016,0.0,19.4032439,1.7e-06,36.83976,2.9e-05,-0.379,0.075,-0.43,0.1,0.000279,8e-05,0.00038,0.00011,-0.51,0.61,-0.45,0.55,0.68,0.7,-0.72,0.59,-0.34,0.51,0.8,0.62,1161345.0,4.2874555,8.6e-06,55005.028983,0.023798,0.24,69.4057,9.9008,11.631,5836.0,True,
421,5880320,K01060.01,Kepler-758 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,12.10968709,6.232e-05,-6.232e-05,140.21258,0.00386,-0.00386,2454973.213,0.00386,-0.00386,0.0,,,,,,0.924,0.004,-0.661,6.3461,0.0954,-0.0954,,,,284.7,8.9,-8.9,0.0187,8.6e-05,-0.002829,0.03281,0.41245,-0.00055,LS+MCMC,2.98,0.46,-0.69,0.1019,,,81.62,,,1005.0,,,240.8,106.82,-109.94,6.34,3.1,-3.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2949,0.3354,q1_q17_dr25_koi,4.463508,21.105242,33.4,4,110.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.8922,Mandel and Agol (2002 ApJ 580 171),,,005/005880/005880320/dv/kplr005880320-20160209194854_dvr.pdf,005/005880/005880320/dv/kplr005880320-001-20160209194854_dvs.pdf,6021.0,120.0,-120.0,4.093,0.195,-0.105,-0.34,0.15,-0.15,1.458,0.226,-0.339,0.96,0.088,-0.08,,,,q1_q17_dr25_stellar,293.08463,41.135441,14.348,14.645,14.281,14.221,14.202,13.37,13.146,13.11,0.27,19.538972,1.1e-05,41.13552,0.00011,-0.06,0.45,0.27,0.41,6e-05,0.00011,-8e-05,0.0001,-0.32,0.36,-0.01,0.28,0.32,0.37,-0.28,0.34,-0.08,0.26,0.29,0.37,5880320.0,12.1096393,3.85e-05,54973.212603,0.104426,0.2,74.0253,10.4267,14.348,6400.0,True,
422,5880320,K01060.02,Kepler-758 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0.758,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.75796103,3.448e-05,-3.448e-05,137.69636,0.00618,-0.00618,2454970.696,0.00618,-0.00618,0.0,,,,,,0.621,0.318,-0.391,4.66,0.157,-0.157,,,,124.5,6.5,-6.5,0.010702,0.002047,-0.000458,0.20573,0.19919,-0.18342,LS+MCMC,1.7,0.27,-0.39,0.0547,,,84.31,,,1372.0,,,835.65,370.7,-381.5,6.27,3.0,-3.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2949,0.3354,q1_q17_dr25_koi,4.0748696,16.059935,20.9,4,271.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.3291,Mandel and Agol (2002 ApJ 580 171),,,005/005880/005880320/dv/kplr005880320-20160209194854_dvr.pdf,005/005880/005880320/dv/kplr005880320-002-20160209194854_dvs.pdf,6021.0,120.0,-120.0,4.093,0.195,-0.105,-0.34,0.15,-0.15,1.458,0.226,-0.339,0.96,0.088,-0.08,,,,q1_q17_dr25_stellar,293.08463,41.135441,14.348,14.645,14.281,14.221,14.202,13.37,13.146,13.11,0.532,19.538981,1.5e-05,41.13534,0.00015,0.28,0.6,-0.37,0.54,-1.2e-05,7.6e-05,4e-05,6.9e-05,-0.36,0.33,-0.29,0.43,0.46,0.41,-0.32,0.3,-0.35,0.42,0.48,0.38,5880320.0,12.1096393,3.85e-05,54973.212603,0.104426,0.2,74.0253,10.4267,14.348,6400.0,True,
423,5880320,K01060.03,Kepler-758 d,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,20.4972755,0.000334,-0.000334,147.43894,0.00968,-0.00968,2454980.439,0.00968,-0.00968,0.0,,,,,,0.966,0.015,-0.673,8.536,0.406,-0.406,,,,242.9,12.0,-12.0,0.018577,8.9e-05,-0.004021,0.00972,0.47328,-0.00489,LS+MCMC,2.96,0.46,-0.69,0.1447,,,80.73,,,843.0,,,119.42,52.97,-54.52,6.0,3.0,-3.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2949,0.3354,q1_q17_dr25_koi,4.1373324,10.584614,22.8,4,51.0,3.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.2111,Mandel and Agol (2002 ApJ 580 171),,,005/005880/005880320/dv/kplr005880320-20160209194854_dvr.pdf,005/005880/005880320/dv/kplr005880320-003-20160209194854_dvs.pdf,6021.0,120.0,-120.0,4.093,0.195,-0.105,-0.34,0.15,-0.15,1.458,0.226,-0.339,0.96,0.088,-0.08,,,,q1_q17_dr25_stellar,293.08463,41.135441,14.348,14.645,14.281,14.221,14.202,13.37,13.146,13.11,0.54,19.538991,1.8e-05,41.13547,0.00018,0.71,0.73,0.13,0.66,-0.0001,0.00014,-3e-05,0.00013,-0.31,0.73,-0.14,0.61,0.34,0.81,-0.27,0.71,-0.21,0.65,0.34,0.82,5880320.0,12.1096393,3.85e-05,54973.212603,0.104426,0.2,74.0253,10.4267,14.348,6400.0,True,
441,5880320,K01060.04,Kepler-758 e,CONFIRMED,Done,2018-08-16,CANDIDATE,0.884,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.19345065,7.089e-05,-7.089e-05,138.99617,0.00668,-0.00668,2454971.996,0.00668,-0.00668,0.0,,,,,,0.815,0.149,-0.576,5.234,0.207,-0.207,,,,115.4,7.6,-7.6,0.010952,0.001407,-0.001158,0.10554,0.39783,-0.08833,LS+MCMC,1.74,0.27,-0.4,0.0785,,,83.51,,,1144.0,,,405.75,180.0,-185.24,7.21,3.4,-3.4,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2949,0.3354,q1_q17_dr25_koi,3.9219823,9.742977,15.7,4,142.0,4.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.727,Mandel and Agol (2002 ApJ 580 171),,,005/005880/005880320/dv/kplr005880320-20160209194854_dvr.pdf,005/005880/005880320/dv/kplr005880320-004-20160209194854_dvs.pdf,6021.0,120.0,-120.0,4.093,0.195,-0.105,-0.34,0.15,-0.15,1.458,0.226,-0.339,0.96,0.088,-0.08,,,,q1_q17_dr25_stellar,293.08463,41.135441,14.348,14.645,14.281,14.221,14.202,13.37,13.146,13.11,0.501,19.538961,2.2e-05,41.13547,0.00023,-0.54,0.9,0.12,0.82,7.8e-05,9.6e-05,-1.8e-05,8.7e-05,0.0,0.65,-1.24,0.9,1.24,0.91,0.04,0.63,-1.31,0.79,1.31,0.79,5880320.0,12.1096393,3.85e-05,54973.212603,0.104426,0.2,74.0253,10.4267,14.348,6400.0,True,
468,8222813,K01069.01,Kepler-760 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.70420525,1.32e-05,-1.32e-05,357.55941,0.00105,-0.00105,2455190.559,0.00105,-0.00105,0.0,,,,,,0.5,0.012,-0.434,2.9385,0.0377,-0.0377,,,,1074.9,16.0,-16.0,0.030316,0.003569,-0.00099,2.12083,1.10238,-0.10904,LS+MCMC,2.86,0.13,-0.24,0.0772,,,88.6,,,748.0,,,74.13,12.28,-15.5,20.4,5.3,-5.3,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1451,0.582,q1_q17_dr25_koi,9.107922,60.56746,74.0,2,132.0,1.0,q1_q17_dr25_tce,00011111111111111000000000000000,0.7793,Mandel and Agol (2002 ApJ 580 171),,,008/008222/008222813/dv/kplr008222813-20160209194854_dvr.pdf,008/008222/008222813/dv/kplr008222813-001-20160209194854_dvs.pdf,5074.0,83.0,-76.0,4.474,0.084,-0.03,0.16,0.15,-0.15,0.863,0.039,-0.072,0.809,0.06,-0.026,,,,q1_q17_dr25_stellar,287.5932,44.17942,15.07,15.75,15.009,14.779,14.676,13.707,13.301,13.239,0.0,19.172888,4.6e-06,44.179444,5.7e-05,0.28,0.18,0.09,0.2,-0.00019,0.00019,0.00048,0.00023,0.06,0.091,-0.122,0.098,0.136,0.096,0.01,0.11,-0.08,0.1,0.08,0.099,8222813.0,8.7042122,3.03e-05,55190.548069,0.024761,0.12,75.095,15.3734,15.07,5221.0,False,
486,8222813,K01069.02,Kepler-760 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,2.46697039,6.298e-06,-6.298e-06,354.93093,0.00169,-0.00169,2455187.931,0.00169,-0.00169,0.0,,,,,,0.574,0.327,-0.353,1.6345,0.059,-0.059,,,,308.7,12.2,-12.2,0.016558,0.003196,-0.000833,2.84151,1.76311,-2.38257,LS+MCMC,1.56,0.07,-0.13,0.0333,,,86.61,,,1139.0,,,398.42,66.01,-83.31,9.71,3.0,-3.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1451,0.582,q1_q17_dr25_koi,4.6713157,24.837725,29.5,2,444.0,2.0,q1_q17_dr25_tce,00011111111111111000000000000000,0.2854,Mandel and Agol (2002 ApJ 580 171),,,008/008222/008222813/dv/kplr008222813-20160209194854_dvr.pdf,008/008222/008222813/dv/kplr008222813-002-20160209194854_dvs.pdf,5074.0,83.0,-76.0,4.474,0.084,-0.03,0.16,0.15,-0.15,0.863,0.039,-0.072,0.809,0.06,-0.026,,,,q1_q17_dr25_stellar,287.5932,44.17942,15.07,15.75,15.009,14.779,14.676,13.707,13.301,13.239,0.388,19.172873,1.2e-05,44.17951,0.00015,-0.31,0.45,0.34,0.53,0.00012,0.00013,6e-05,0.00015,-0.09,0.28,-0.05,0.23,0.1,0.18,-0.13,0.31,-0.01,0.25,0.13,0.29,8222813.0,8.7042122,3.03e-05,55190.548069,0.024761,0.12,75.095,15.3734,15.07,5221.0,False,
520,11974540,K00129.01,Kepler-470 b,CONFIRMED,Done,2018-08-16,FALSE POSITIVE,1.0,0,1,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,24.669192732,7.569e-06,-7.569e-06,132.864236,0.000258,-0.000258,2454965.864,0.000258,-0.000258,0.0,,,,,,0.073,0.096,-0.05,7.03515,0.00754,-0.00754,,,,7382.3,13.7,-13.7,0.076351,4.3e-05,-0.000126,0.74047,0.00762,-0.00087,LS+MCMC,77.76,21.27,-31.9,0.2322,,,89.85,,,1485.0,,,1150.61,1220.73,-925.51,28.773,0.296,-0.296,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1958,0.5281,q1_q17_dr25_koi,88.01822,431.7975,603.0,2,54.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0019,Mandel and Agol (2002 ApJ 580 171),,,011/011974/011974540/dv/kplr011974540-20160209194854_dvr.pdf,011/011974/011974540/dv/kplr011974540-001-20160209194854_dvs.pdf,5313.0,328.0,-712.0,2.936,0.18,-0.18,0.56,0.05,-0.15,9.327,2.551,-3.826,2.736,0.172,-1.463,,,,q1_q17_dr25_stellar,297.00943,50.372318,13.224,13.484,13.17,13.113,13.089,12.269,12.042,12.034,0.0,19.80063237,3.7e-07,50.3723812,3.7e-06,0.126,0.013,0.22,0.013,0.0018,0.00031,-0.00071,0.00048,-0.195,0.071,0.127,0.072,0.233,0.071,-0.005,0.072,0.016,0.079,0.017,0.078,11974540.0,24.6691944,0.0001054,54965.863261,0.059179,0.09,83.6681,12.2654,13.224,6507.0,True,
